Stock,Avg Daily Returns,Risk,Min,Max,Annualized_Returns,Annualized_Risk,Sharpe_Ratio,Cumulative Returns
AMZN,0.16,1.9,-7.92,13.22,40.59,30.11,1.32,504.69
MSFT,0.14,1.75,-14.74,14.22,34.95,27.84,1.23,371.49
AAPL,0.13,1.87,-12.86,11.98,33.32,29.73,1.1,322.74
FB,0.1,2.04,-18.96,15.52,26.45,32.31,0.8,187.96
UNH,0.09,1.78,-17.28,12.8,23.72,28.27,0.81,167.36
GOOG,0.08,1.65,-11.1,10.45,21.02,26.23,0.77,140.41
MS,0.06,2.18,-15.6,19.77,14.55,34.62,0.4,53.49
S&P500,0.05,1.21,-11.98,9.38,13.04,19.18,0.64,74.81
MRK,0.05,1.41,-8.9,10.41,12.88,22.33,0.54,68.02
JNJ,0.05,1.25,-10.04,8.0,11.35,19.78,0.54,59.79
GS,0.03,1.99,-12.71,17.58,7.64,31.59,0.22,14.17
RHHBY,0.03,1.35,-8.96,13.01,7.38,21.45,0.31,28.87
LUV,0.02,2.29,-15.11,14.44,6.16,36.37,0.15,-2.37
PFE,0.02,1.38,-7.73,8.96,5.25,21.95,0.21,15.26
DAL,0.0,2.65,-25.99,21.02,1.05,42.03,0.01,-32.66
HA,0.0,3.31,-26.5,24.58,0.86,52.6,0.0,-47.88
IBM,-0.0,1.61,-12.85,11.3,-0.04,25.54,-0.03,-15.27
ALGT,-0.0,2.91,-28.33,29.24,-1.19,46.2,-0.04,-45.04
ALk,-0.03,2.69,-23.24,20.31,-6.44,42.71,-0.17,-54.34
AAL,-0.03,3.47,-25.22,41.1,-8.47,55.12,-0.17,-68.65
WFC,-0.04,2.03,-15.87,14.53,-10.44,32.3,-0.35,-54.3
CS,-0.04,2.28,-18.26,16.34,-11.01,36.26,-0.32,-58.61
DB,-0.05,2.77,-17.49,14.02,-13.33,44.04,-0.32,-68.33
BCS,-0.05,2.51,-21.85,15.1,-13.82,39.87,-0.37,-66.62
BHC,-0.09,4.46,-51.46,33.74,-22.6,70.72,-0.33,-91.35
